iter	Logloss
0	0.5775007612
1	0.4891056509
2	0.4248132069
3	0.3791910028
4	0.343623708
5	0.3143737422
6	0.2925152878
7	0.2746934168
8	0.2589444443
9	0.2478439555
10	0.2382051496
11	0.2276976282
12	0.2211742211
13	0.2146006892
14	0.2093807206
15	0.2036046337
16	0.1995162985
17	0.1957376483
18	0.1923431776
19	0.1874758509
20	0.1848873625
21	0.1820964025
22	0.1805062855
23	0.1783524935
24	0.1765202507
25	0.1744640139
26	0.1728282541
27	0.1712253013
28	0.169583149
29	0.1678742641
30	0.1659485234
31	0.1647562727
32	0.1633319698
33	0.1626276279
34	0.1614481159
35	0.1599867384
36	0.1593656175
37	0.158262301
38	0.1563911675
39	0.1544864631
40	0.1530895779
41	0.1514567037
42	0.150311784
43	0.1490796229
44	0.1478343949
45	0.1467292779
46	0.1458962177
47	0.1449894428
48	0.1437562596
49	0.1423772379
50	0.1415779418
51	0.1410081369
52	0.1398195008
53	0.1391421567
54	0.1378781383
55	0.1368367928
56	0.1358325554
57	0.1351466069
58	0.1346595948
59	0.1337587907
60	0.1332526714
61	0.1327128173
62	0.131975939
63	0.1315734266
64	0.1306771553
65	0.1296081656
66	0.1291783071
67	0.1281956174
68	0.1271853506
69	0.1265959129
70	0.125838447
71	0.1253864091
72	0.1246107638
73	0.1239739762
74	0.1228568184
75	0.1224426016
76	0.1218010562
77	0.120758235
78	0.1201363235
79	0.1197984496
80	0.1189229632
81	0.1183722103
82	0.1176225373
83	0.1171258099
84	0.1162032096
85	0.1153068695
86	0.1147502908
87	0.1140153539
88	0.1135099646
89	0.1133057468
90	0.1129342792
91	0.1121946763
92	0.1116296939
93	0.1106904416
94	0.1098812156
95	0.1091646271
96	0.1087693136
97	0.108263514
98	0.1071812996
99	0.1064518146
100	0.1052526554
101	0.1045774939
102	0.1041623899
103	0.1036177303
104	0.1032848504
105	0.1028990628
106	0.1024672165
107	0.1016882522
108	0.1013417226
109	0.1008040772
110	0.100087333
111	0.09936196178
112	0.09862138799
113	0.09820307165
114	0.09756293334
115	0.0970313411
116	0.09658654135
117	0.09624038134
118	0.09566614029
119	0.09524466489
120	0.09459707148
121	0.09413463538
122	0.09372735917
123	0.09336590691
124	0.09309111932
125	0.09259635286
126	0.09207857193
127	0.09173233207
128	0.09134262542
129	0.09089552391
130	0.0903248112
131	0.08956426117
132	0.08909020334
133	0.08859693559
134	0.08832047117
135	0.08721885578
136	0.08677865236
137	0.08605716002
138	0.08556783825
139	0.08517204751
140	0.08462278749
141	0.08430327838
142	0.08397504073
143	0.08376600003
144	0.08328177989
145	0.08298820274
146	0.08260408599
147	0.08207107212
148	0.08159990998
149	0.0813492214
150	0.08102940263
151	0.08051911223
152	0.08008897404
153	0.07973011853
154	0.07925934973
155	0.07879988098
156	0.07850834685
157	0.07815834889
158	0.0777254485
159	0.0773539941
160	0.07708519963
161	0.07686255213
162	0.07621105171
163	0.07590418198
164	0.07563174344
165	0.07531869225
166	0.07506002522
167	0.07467416902
168	0.07425167798
169	0.07393218346
170	0.07348218769
171	0.07331373398
172	0.0727850168
173	0.07257000717
174	0.07233482446
175	0.07208395058
176	0.07197654439
177	0.07172579326
178	0.07110928508
179	0.0708894673
180	0.07055199051
181	0.07014995684
182	0.06993560064
183	0.0696735862
184	0.06943826729
185	0.06908383151
186	0.06896386286
187	0.06873322391
188	0.06831692209
189	0.0679594557
190	0.06737195411
191	0.06717230442
192	0.06695618596
193	0.06677714115
194	0.06657967573
195	0.06619496905
196	0.0657636742
197	0.06556120192
198	0.06538041817
199	0.06500243543
