iter	Passed	Remaining
0	149	29812
1	161	15992
2	173	11371
3	186	9157
4	201	7846
5	215	6952
6	227	6263
7	239	5753
8	254	5396
9	267	5074
10	279	4801
11	290	4551
12	303	4363
13	316	4210
14	330	4072
15	343	3945
16	355	3831
17	369	3739
18	384	3664
19	401	3611
20	414	3535
21	428	3470
22	441	3397
23	454	3334
24	468	3277
25	482	3225
26	495	3173
27	508	3126
28	520	3066
29	532	3018
30	546	2977
31	559	2936
32	570	2887
33	582	2845
34	595	2808
35	609	2775
36	621	2737
37	633	2701
38	646	2668
39	658	2635
40	671	2606
41	683	2569
42	698	2548
43	712	2527
44	726	2500
45	739	2476
46	751	2447
47	764	2421
48	777	2395
49	791	2375
50	808	2361
51	822	2339
52	836	2320
53	848	2292
54	861	2270
55	876	2253
56	889	2232
57	904	2214
58	916	2191
59	928	2167
60	942	2146
61	955	2126
62	969	2107
63	980	2083
64	994	2064
65	1006	2044
66	1020	2025
67	1034	2007
68	1048	1989
69	1060	1969
70	1073	1950
71	1086	1932
72	1102	1917
73	1114	1898
74	1127	1879
75	1140	1860
76	1154	1843
77	1168	1827
78	1182	1810
79	1196	1795
80	1211	1779
81	1223	1761
82	1238	1745
83	1251	1728
84	1266	1713
85	1279	1696
86	1294	1681
87	1306	1663
88	1320	1647
89	1336	1633
90	1350	1617
91	1364	1602
92	1379	1586
93	1392	1569
94	1406	1554
95	1419	1537
96	1432	1521
97	1448	1508
98	1464	1493
99	1479	1479
100	1492	1462
101	1505	1446
102	1518	1430
103	1532	1414
104	1546	1399
105	1560	1383
106	1573	1367
107	1587	1351
108	1601	1337
109	1616	1322
110	1629	1306
111	1644	1291
112	1658	1276
113	1671	1260
114	1684	1244
115	1697	1229
116	1711	1214
117	1725	1199
118	1741	1185
119	1754	1169
120	1767	1153
121	1781	1138
122	1794	1123
123	1809	1108
124	1821	1093
125	1836	1078
126	1849	1062
127	1862	1047
128	1876	1032
129	1890	1018
130	1906	1003
131	1919	988
132	1934	974
133	1947	959
134	1960	943
135	1974	929
136	1988	914
137	2003	899
138	2016	885
139	2029	869
140	2044	855
141	2058	840
142	2072	825
143	2085	811
144	2099	796
145	2111	780
146	2124	766
147	2141	752
148	2155	737
149	2170	723
150	2186	709
151	2200	694
152	2212	679
153	2224	664
154	2239	650
155	2253	635
156	2267	621
157	2283	606
158	2296	592
159	2309	577
160	2323	562
161	2337	548
162	2351	533
163	2365	519
164	2379	504
165	2394	490
166	2407	475
167	2421	461
168	2434	446
169	2447	431
170	2462	417
171	2475	403
172	2488	388
173	2502	373
174	2517	359
175	2531	345
176	2545	330
177	2558	316
178	2572	301
179	2585	287
180	2599	272
181	2614	258
182	2628	244
183	2642	229
184	2656	215
185	2669	200
186	2682	186
187	2696	172
188	2711	157
189	2726	143
190	2738	129
191	2751	114
192	2765	100
193	2780	85
194	2795	71
195	2810	57
196	2825	43
197	2837	28
198	2848	14
199	2862	0
