UDI,Product ID,Type,date,TWF,HDF,PWF,OSF,RNF,avg_sea_level_pres_hpa_roll_mean,avg_sea_level_pres_hpa_roll_std,avg_sea_level_pres_hpa_roll_var
5,L47184,L,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
6,M14865,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
7,L47186,L,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
8,L47187,L,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
9,M14868,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
10,M14869,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
11,H29424,H,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
12,H29425,H,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
13,M14872,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
14,M14873,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
15,L47194,L,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
16,L47195,L,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
17,M14876,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
18,M14877,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
19,H29432,H,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
20,M14879,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
21,H29434,H,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
22,L47201,L,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
23,M14882,M,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
24,L47203,L,2020-01-01,0,0,0,0,0,1014.4,0.0,0.0
25,M14884,M,2020-01-02,0,0,0,0,0,1014.5600000000001,0.35777087640000954,0.12800000000003092
26,L47205,L,2020-01-02,0,0,0,0,0,1014.72,0.43817804600421434,0.1920000000000714
27,L47206,L,2020-01-02,0,0,0,0,0,1014.8800000000001,0.4381780460042377,0.19200000000009185
28,H29441,H,2020-01-02,0,0,0,0,0,1015.0400000000002,0.3577708764000953,0.1280000000000923
29,L47208,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
30,L47209,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
31,M14890,M,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
32,L47211,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
33,L47212,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
34,L47213,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
35,M14894,M,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
36,M14895,M,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
37,M14896,M,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
38,L47217,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
39,H29452,H,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
40,L47219,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
41,L47220,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
42,L47221,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
43,M14902,M,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
44,H29457,H,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
45,M14904,M,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
46,L47225,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
47,M14906,M,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
48,L47227,L,2020-01-02,0,0,0,0,0,1015.2,3.1985473533967167e-07,1.0230705171921141e-13
49,H29462,H,2020-01-03,0,0,0,0,0,1014.9399999999999,0.581377674150013,0.3380000000000787
50,M14909,M,2020-01-03,0,0,0,0,0,1014.6800000000001,0.7120393247567408,0.5070000000000354
51,L47230,L,2020-01-03,0,0,1,0,0,1014.4200000000001,0.7120393247567175,0.5070000000000022
